,Artist,Biography,Listeners,Playcount,Similar
306,Neal Hefti,"Neal Hefti (born October 29, 1922 in Hastings, Nebraska - died October 11, 2008 in Toluca Lake, California) was an American jazz trumpeter, composer, and arranger.

He began arranging professionally in his teens, when he wrote charts for Nat Towles. He became a prominent composer and arranger while playing trumpet for Woody Herman; while working for Herman he provided new arrangements for ""Woodchopper's Ball"" and ""Blowin' Up a Storm,"" and composed ""The Good Earth"" and ""Wild Root. <a href=""https://www.last.fm/music/Neal+Hefti"">Read more on Last.fm</a>",23102,122463,"('Billy May & His Orchestra', 'Si Zentner', 'Pete Rugolo', 'Michael McCuistion', 'Hoyt Curtin')"
307,Sơn Tuyền,"Cách đây 10 năm, Sơn Tuyền chưa bao giờ có ý định trở thành một ca sĩ sau này như chị cô là Thanh Tuyền. Ngay lúc cô bắt đầu đi hát tại club Hong Kong tại Houston dành cho khách đủ các quốc tịch như Mỹ, Nhật, Phi ... vào năm 1984, cả nhà cô cũng chẳng ai hay biết. Hát tại đây cũng là dịp tình cờ, khi Carol Kim lúc đó đang cộng tác với Club này quyết định bay về Cali lập nghiệp. <a href=""https://www.last.fm/music/+noredirect/S%C6%A1n+Tuy%E1%BB%81n"">Read more on Last.fm</a>",547,3069,"('Duy Khánh', 'Hương Lan', 'Như Quỳnh', 'Giao Linh', 'Lệ Thu')"
308,Los Patuma," <a href=""https://www.last.fm/music/Los+Patuma"">Read more on Last.fm</a>",126,627,"('Silva Y Villalba', 'Trio Martino', 'Los Visconti', 'El Caballero Gaucho', 'Miltiño')"
309,José Luis Rodríguez,"José Luis Rodríguez González (n. Caracas, Venezuela; 14 de enero de 1943), cantante, empresario y actor venezolano, famoso por su sobrenombre artístico, ""El Puma"". Es uno de los cantantes insignia de Venezuela y uno de los más exitosos del mundo de habla hispana, llegando a la fama como actor y posteriormente consagrándose como cantante.

Ha realizado más de cuarenta álbumes en toda su carrera, vendiendo en totalidad más de 15 millones de copias y ganando numerosos discos de oro y discos de platino. <a href=""https://www.last.fm/music/+noredirect/Jos%C3%A9+Luis+Rodr%C3%ADguez"">Read more on Last.fm</a>",49610,339564,"('Dyango', 'José Luis Perales', 'Leonardo Favio', 'Emmanuel', 'Leo Dan')"
310,Sandhya Mukherjee,"Sandhya Mukhopadhyay (Bengali: সন্ধ্যা মুখোপাধ্যায়) (1931-)is a famous Indian singer and musician, specialising in Bengali music. She was born in Kolkata, India. She is also known as Sandhya Mukherjee.

Sandhya started her music training under the direction of Pandit Santosh Kumar Basu, Professor A Kannan and Professor Chinmay Lahiri. However, her guru was Ustad Bade Ghulam Ali Khan under whom she mastered Indian classical music. <a href=""https://www.last.fm/music/Sandhya+Mukherjee"">Read more on Last.fm</a>",1645,16271,"('Shyamal Mitra', 'Hemanta Mukherjee', 'Manabendra Mukherjee', 'Indranil Sen', 'Srikanta Acharya')"
311,Kari Tapio,"Kari Tapio (born Kari Tapani Jalkanen, November 22, 1945 in Suonenjoki, Finland – December 7, 2010 in Espoo, Finland)  was a Finnish schlager-singer. He has been one of the most popular singers in Finland for decades.

In the 1960s Kari Tapio performed in his current home city Pieksämäki with the local bands ER-Quartet and Jami & The Noisemakers. In 1966 he got some singing teaching from Ture Ara.

After his first single ""Tuuli kääntyköön""/""Niskavuoren nuorimmainen"" in 1972 Kari Tapio performed in Ilkka ""Danny"" Lipsanen's show. <a href=""https://www.last.fm/music/Kari+Tapio"">Read more on Last.fm</a>",38939,702072,"('Tapani Kansa', 'Tapio Rautavaara', 'Katri Helena', 'Irwin Goodman', 'Yölintu')"
312,Billy Vaughn,"Richard ""Billy"" Vaughn was a singer, multi-instrumentalist and orchestra leader.

He was born in Glasgow, Kentucky, where his father was a barber who loved music and inspired Billy to teach himself to play the mandolin at age 3, while suffering a case of the measles. He went on to learn a number of other instruments.

In 1941, Vaughn joined the United States National Guard for what had been planned as a one-year assignment, but when World War II broke out, he was sent abroad till the war ended in 1945. <a href=""https://www.last.fm/music/Billy+Vaughn"">Read more on Last.fm</a>",95316,665200,"('Max Greger', 'Bert Kaempfert', 'Franck Pourcel', 'James Last', 'Hugo Strasser')"
313,The Yellow Monkey,"The Yellow Monkey (ザイエローモンキー), often abbreviated to yemon (イエモン), is a popular Japanese rock band formed in 1989. Its name derives from an ethnic slur and is an ironic reference to the belief that Japanese rock groups could never be ""authentic"".

In 2003, HMV Records Japan rated them #81 in their ""Top 100 Japanese pops Artists"".

Although band activities were ceased starting from January 2001, except for later releases of band material such as compilations and DVDs, The Yellow Monkey actually broke up on July 7, 2004. <a href=""https://www.last.fm/music/The+Yellow+Monkey"">Read more on Last.fm</a>",47260,2794062,"('GLAY', ""B'z"", 'ゴスペラーズ', 'LOVE PSYCHEDELICO', 'Triceratops')"
314,Giannis Poulopoulos,"Giannis Poulopoulos (Γιάννης Πουλόπουλος, aka John Poulopoulos) is a Greek singer of the 1970's and 1980's who had many prominent hits in the Greek music world. His albums are the 4th highest sold in Greece of all-time singers. He is considered a legend by many and still currently sings, refusing to give concerts due to a fear of flying. He is known as the singer of love, he has participated as a singer in albums with famous musicians and songwriters, most notably Lefteris Papadopoulos and Mimis Plessas. <a href=""https://www.last.fm/music/+noredirect/Giannis+Poulopoulos"">Read more on Last.fm</a>",7623,99565,()
315,Vânia Bastos," <a href=""https://www.last.fm/music/+noredirect/V%C3%A2nia+Bastos"">Read more on Last.fm</a>",5827,33600,"('Fátima Guedes', 'Ná Ozzetti', 'Eduardo Gudin', 'Virgínia Rosa', 'Mariana Baltar')"
316,Lolita Garrido,"Lolita Garrido (Dolores Garrido Guardiola, Manises, Valencia, 24 March 1928 - 15 November 2018) was a Spanish bolero singer. Nicknamed ""The Bride of Swing"". 

The oldest type of bolero originated in Spain during the late 18th century as a form of ballroom music, which influenced art music composers around the world, most famously Maurice Ravel's Boléro, as well as a flamenco style known as boleras. <a href=""https://www.last.fm/music/Lolita+Garrido"">Read more on Last.fm</a>",1135,5283,"('Gelu', 'Carmen Sevilla', 'Los Brincos', 'Vainica Doble', 'El Consorcio')"
317,Chung Tử Lưu," <a href=""https://www.last.fm/music/Chung+T%E1%BB%AD+L%C6%B0u"">Read more on Last.fm</a>",37,159,"('Elvis Phương', 'Anh Tu', 'Thái Hiền', 'Duy Quang', 'Sĩ Phú')"
318,Jayati Chakraborty,"Jayati Chakraborty, is the shining star in the horizon of Bengali music (a frequent performer in Tara Muzik Television) is creating ripples in the genre of Rabindra sangeet and Adhunik Bengali songs. 
Jayati has a God gifted unique voice. Her renditions has won her accolades and mesmerised audiences transcending geographical boundaries. She has more than ten solo albums and numerous assorted albums to her credit within a short time of launching her career as a singer. <a href=""https://www.last.fm/music/Jayati+Chakraborty"">Read more on Last.fm</a>",1506,22776,"('Iman Chakraborty', 'Lopamudra Mitra', 'Supratik Das', 'Somlata Acharyya Chowdhury', 'Rupankar Bagchi')"
319,خميس ناجي," <a href=""https://www.last.fm/music/%D8%AE%D9%85%D9%8A%D8%B3+%D9%86%D8%A7%D8%AC%D9%8A"">Read more on Last.fm</a>",14,23,"('Ameen Khattab', 'Oka Wi Ortega', 'Hamo Bika')"
320,pornograffitti," <a href=""https://www.last.fm/music/+noredirect/pornograffitti"">Read more on Last.fm</a>",195679,2358330,()
321,Sukhdev Sukha," <a href=""https://www.last.fm/music/Sukhdev+Sukha"">Read more on Last.fm</a>",66,622,"('Sukhi Lally', 'Sukhdev Darapuria', 'KULDEEP TOOR', 'Madan Maddi', 'K.S. Makhan')"
322,Andrew Kishore," <a href=""https://www.last.fm/music/Andrew+Kishore"">Read more on Last.fm</a>",643,4339,"('Sabina Yasmin', 'Kumar Bishwajit', 'Shahnaz Rahmatullah', 'Syed Abdul Hadi', 'Subir Nandi')"
323,Nina Badric,"She was born on 4th of July, 1972 in Zagreb. She started singing when she was only nine in children’s choir Zvjezdice. With that choir she travelled around the world, recorded several albums and gained a huge experience in choir, solo and gospel singing. At the age of twenty she signs her first contract with Rajko Dujmic and Jasenko Houra, goes to first Crovision and wins the eighth place with the song Ostavljam te. Two years later, and having recorded one album Godine nestvarne <a href=""https://www.last.fm/music/+noredirect/Nina+Badric"">Read more on Last.fm</a>",7290,89120,()
324,Thanh Tuyền,"Thanh Tuyền (real name: Nguyễn Như Mai) is a Vietnamese singer. She was born on October 29, 1948 in Đà Lạt. Her family moved to Saigon where she attended Bùi Thị Xuân and Lê Văn Duyệt high school. Thanh Tuyền's famous sibling is Sơn Tuyền. She is also Shayla's mom. In 1979, Thanh Tuyền's family came to the United States and settled in Washington and then Houston, Texas.

As a child, Thanh Tuyền demonstrated a nack for singing and performance. <a href=""https://www.last.fm/music/+noredirect/Thanh+Tuy%E1%BB%81n"">Read more on Last.fm</a>",2718,20527,"('Hoàng Oanh', 'Duy Khánh', 'Lệ Thu', 'Phương Dung', 'Hà Thanh')"
325,Eduard Khil,"Eduard Khil (Eduard Anatolyevich Khil, or Эдуа́рд Анато́льевич Хиль in Russian, September 4, 1934 – June 4, 2012) was a Russian baritone, well known in his country from his singing in the 1960s and later. He fell into obscurity with the fall of the Soviet Union. He is best known in the Anglosphere for his 1976 hit transliterated into English as ""I am very glad, because I'm finally returning back home"" (often called ""Trololo"", ""Trolololo"", ""Trololololo"", or similar names) due to internet attention. <a href=""https://www.last.fm/music/Eduard+Khil"">Read more on Last.fm</a>",34012,196398,"('Oleg Anofriyev', 'Aida Vedishcheva', 'Maya Kristalinskaya', 'Georgi Vinogradov', 'Mikhail Boyarskiy')"
326,Yo Hitoto," <a href=""https://www.last.fm/music/+noredirect/Yo+Hitoto"">Read more on Last.fm</a>",6671,35999,()
327,Amar Arshi,"amar arshi is a famous singer in around the world ..
he is belong to a middle class family ..
his from nangal majja near phagwara in punjab ..
 <a href=""https://www.last.fm/music/Amar+Arshi"">Read more on Last.fm</a>",25678,142236,"('Labh Janjua', 'Kanika Kapoor', 'Sukhbir', 'Dr. Zeus', 'Miss Pooja')"
328,Si Himan,"English tag for: סי היימן

https://www.last.fm/music/סי+היימן <a href=""https://www.last.fm/music/Si+Himan"">Read more on Last.fm</a>",493,3183,"('Riki Gal', 'Korin Allal', 'Carmella Gross & Wagner', 'T-slam', 'Nurit Galron')"
329,Romantici Vagabondi," <a href=""https://www.last.fm/music/Romantici+Vagabondi"">Read more on Last.fm</a>",760,2799,"('Nanni Svampa', 'Nuova Compagnia Di Canto Popolare', 'Vomitiors', 'Davide Van De Sfroos', 'Il Muro Del Canto')"
330,Jodle Birge,"""Jodle"" Birge Lønquist Hansen (born November 6, 1945, died August 27, 2004) was a danish singer.
Before his musical career took off, he worked at an abattoir. <a href=""https://www.last.fm/music/Jodle+Birge"">Read more on Last.fm</a>",2045,11008,"('Ib Grønbech', 'Richard Ragnvald', 'Jacob Haugaard', 'Bjørn & Okay', 'Johnny Reimar')"
331,Carola,"There have been at least two artists who have used the artist name Carola.

1.Carola Maria Häggkvist (born 8 September 1966), better known as simply Carola, is a Swedish singer and occasional songwriter. She has been among Sweden's most popular performers since the early 1980s, and has released albums ranging from pop and disco to hymns and folk music. Her debut album, Främling, sold around one million copies and remains the biggest-selling album in Swedish music history. <a href=""https://www.last.fm/music/Carola"">Read more on Last.fm</a>",192431,2744221,"('Lena Philipsson', 'Tomas Ledin', 'Arvingarna', 'Charlotte Perrelli', 'Magnus Uggla')"
332,Chucho Avellanet,"Chucho Avellanet de Puerto Rico. Uno de los mejores de todos los tiempos.  <a href=""https://www.last.fm/music/Chucho+Avellanet"">Read more on Last.fm</a>",3672,22331,"('Gilberto Monroig', 'Felipe Rodriguez', 'Felipe ""La Voz"" Rodriguez', 'Carmen Delia Dipini', 'Odilio Gonzalez')"
333,Bharat Sharma Vyas,"Bharat Vyas Sharma is a Bhojpuri singer from India.

Bhojpuri films are films in the Bhojpuri language, mainly watched by people from western Bihar, eastern Uttar Pradesh in North India and Terai in southern Nepal. <a href=""https://www.last.fm/music/Bharat+Sharma+Vyas"">Read more on Last.fm</a>",188,669,"('Sharda Sinha', 'Madan Rai', 'Khesari Lal Yadav', 'Shilpi Raj', 'Kalpana')"
334,Cauby Peixoto,"Cauby Peixoto (Cauby Peixoto Barros - 2/10/1931  Niterói, RJ) is considered by many as Brazil's best singer. With his velvety and low timbre, influenced by Orlando Silva and Nat ""King"" Cole, Peixoto coined an individual style interpreting a kaleidoscope of genres ranging from tongue-in-cheek cheesy boleros to mambo (especially in the early '70s), romantic sambas-canções (his strongest point) such as his biggest hit ""Conceição,"" and even a little bossa nova and jazz. <a href=""https://www.last.fm/music/Cauby+Peixoto"">Read more on Last.fm</a>",55258,230995,"('Angela Maria', 'Nana Caymmi', 'Agnaldo Timóteo', 'Leila Pinheiro', 'Altemar Dutra')"
335,Devan Ekambaram,"USA born and bred, has sung for 150 films in TAMIL, KANNADA & TELEGU languages. Dubbed for the lead character for the film 'LITTLE JOHN' in HINDI and TAMIL.
Debut film role was for the film 'PARTHIBAN KANAVU'. Anchored 2 TV Shows, 1 FOR 'JAI THE FANTASTIC RACE' in JAYATV AND 'PODHIGAI CALLING'- FOR DOORDARSHAN. Has performed NATIONALLY and INTERNATIONALLY along with artists such as UNNIKRISHNAN, SHANKAR MAHADEVAN, and A.R. RAHMAN.

Currently travelling throughout TAMIL NADU doing LIGHT MUSIC SHOWS. <a href=""https://www.last.fm/music/Devan+Ekambaram"">Read more on Last.fm</a>",4025,31209,"('Unnikrishnan', 'Krishh', 'S.P. Charan', 'Kamal Haasan', 'Ranjith Govind')"
336,Lehakat Geisot Hashiryon," <a href=""https://www.last.fm/music/Lehakat+Geisot+Hashiryon"">Read more on Last.fm</a>",233,1118,"('Lehakat Hanachal', 'Lehakat Pikud Tzafon', 'Lehakat Pikud Merkaz', 'Lehakat Heyl HaYam', 'Hanan Yovel')"
337,Sunil Chhaila Bihari," <a href=""https://www.last.fm/music/Sunil+Chhaila+Bihari"">Read more on Last.fm</a>",108,273,"('Sharda Sinha', 'Kalpana Patowary', 'Kavita Paudwal', 'Kalpana', 'Ajeet Kumar Akela')"
338,The Mong Cowboy," <a href=""https://www.last.fm/music/The+Mong+Cowboy"">Read more on Last.fm</a>",8,48,()
339,Celia Gamez,"Incorrect name of the artist.
Correct: Celia Gámez <a href=""https://www.last.fm/music/+noredirect/Celia+Gamez"">Read more on Last.fm</a>",711,5635,()
340,Kai Winding,"Kai Chresten Winding (May 18, 1922 – May 6, 1983) was a Danish-born American trombonist and jazz composer. He is well known for a successful collaboration with fellow trombonist J. J. Johnson.

Winding was born in Aarhus, Denmark. In 1934 his family emigrated to the United States. He graduated in 1940 from Stuyvesant High School in New York City, plus that same year he began his career as a professional trombonist with Shorty Allen's band. Subsequently <a href=""https://www.last.fm/music/Kai+Winding"">Read more on Last.fm</a>",32372,143069,"('J.J. Johnson', 'Coleman Hawkins', 'Dizzy Gillespie', 'Thad Jones', 'Clifford Brown')"
341,Ileana Constantinescu," <a href=""https://www.last.fm/music/Ileana+Constantinescu"">Read more on Last.fm</a>",68,212,"('Alexandru Grozuță', 'Ionel Budisteanu', 'Maria Lataretu', 'Mihai Mihalache', 'Liviu Vasilica')"
342,Bjarni Arason," <a href=""https://www.last.fm/music/Bjarni+Arason"">Read more on Last.fm</a>",1121,3776,"('Greifarnir', 'Dagur Sig', 'Bára Katrín', 'Björgvin Halldórsson', 'Stebbi Jak')"
343,Annika Hoydal," <a href=""https://www.last.fm/music/Annika+Hoydal"">Read more on Last.fm</a>",601,5397,"('Jens Marni Hansen', 'Martin Joensen', 'Hanus G. Johansen', 'Jens Lisberg', 'Guðrið Hansdóttir')"
344,Elvis Phương,"Elvis Phuong (1945-     ) is a famous Vietnamese singer.  Born as Pham Ngoc Phuong in Binh Duong, Elvis Phuong was educated in Saigon at a French Catholic school.  His first public performance was in 1962 when he performed at Regina Pacis High School Auditorium.  Due to his deep admiration of international rock and roll singer, Elvis Presley, he decided on the professional stage name of Elvis Phuong.  During the 1960s, Elvis Phuong took part in joining several pop music bands in Saigon like Rockin' Stars, Les Vampires, and Phuong Hoang. <a href=""https://www.last.fm/music/Elvis+Ph%C6%B0%C6%A1ng"">Read more on Last.fm</a>",5102,41981,"('Duy Quang', 'Lệ Thu', 'Tuấn Ngọc', 'Thanh Lan', 'Khánh Hà')"
345,Tip y Top," <a href=""https://www.last.fm/music/Tip+y+Top"">Read more on Last.fm</a>",49,74,"('Lorenzo González', 'Ana María González', 'José Guardiola')"
346,Carlos Jose," <a href=""https://www.last.fm/music/Carlos+Jose"">Read more on Last.fm</a>",2379,7950,"('Luiz Vieira', 'Orlando Dias', 'Silvinho', 'Walter Guimarães', 'Anisio Silva')"
347,Choi Sung-Soo," <a href=""https://www.last.fm/music/Choi+Sung-Soo"">Read more on Last.fm</a>",735,5660,"('Lee Chi Hyun', '김종찬', 'Yang Soo Kyung', 'Yeong Rok Jeon', 'Byun Jin-sub')"
348,Don Hồ,"During his sophomore through senior year in high school, Don Ho participated in a choral group called Chamber Singers. As a young man, Don Ho excelled in the arts. He received a scholarship to attend an art school in New York after high school, however his love for music was greater, consequently, Don decided to remain in the west coast to pursue a career as a singer. Don came from a family of entertainers. He still has relatives who are in show business in Vietnam. <a href=""https://www.last.fm/music/+noredirect/Don+H%E1%BB%93"">Read more on Last.fm</a>",1074,15107,"('Lâm Thúy Vân', 'Lâm Nhật Tiến', 'Nguyễn Hưng', 'Trịnh Lam', 'Lương Tùng Quang')"
349,David Rose,"David Rose (June 15, 1910 – August 23, 1990) was a British-born American songwriter, composer, arranger, and orchestra leader. His most famous compositions were ""The Stripper"", ""Holiday for Strings"", and ""Calypso Melody"". He also wrote music for the television series Little House on the Prairie and Bonanza. In addition, Rose was musical director for the Red Skelton show during its 21-year-run on the CBS and NBC networks. He was a member of Phi Mu Alpha Sinfonia, the national fraternity for men in music. <a href=""https://www.last.fm/music/David+Rose"">Read more on Last.fm</a>",52089,182561,"('Ray Anthony', 'Les Baxter', 'Bert Kaempfert', 'Nelson Riddle', 'Frank Chacksfield')"
350,Tapani Kansa,"Legendary corner-stone of Finnish pop with respectable career at dancing halls over decades already. Sings with passion and his car flies on the way to perform. <a href=""https://www.last.fm/music/Tapani+Kansa"">Read more on Last.fm</a>",34363,376824,"('Kari Tapio', 'Tapio Rautavaara', 'Katri Helena', 'Irwin Goodman', 'Kirka')"
351,Alon Oleartchik," <a href=""https://www.last.fm/music/Alon+Oleartchik"">Read more on Last.fm</a>",2338,26669,"('Ilan Peled', 'Korin Allal', 'Danny Sanderson', 'Matti Caspi', 'אריק אינשטיין')"
352,Raimonds Pauls,"The most distinguished writer of Latvian popular music and pianist Raimonds Pauls (born January 12, 1936) is a renowned composer of popular music. His music has been performed in countless countries and in the most prestigious concert halls, and all of this was possible thanks to his unique flair of melody. The fertile creative imagination of Maestro Raimonds Pauls has brought together the intonations of Latvian folk music, jazz, blues, rock’n’roll <a href=""https://www.last.fm/music/Raimonds+Pauls"">Read more on Last.fm</a>",11477,288775,"('Nora Bumbiere', 'Eolika', 'Žoržs Siksna', 'Menuets', 'Pērkons')"
353,Amrita Virk," <a href=""https://www.last.fm/music/Amrita+Virk"">Read more on Last.fm</a>",148,717,"('Soni Pabla', 'Manpreet Akhtar', 'Harjit Harman', 'Kanth Kaler', 'Raj Brar')"
354,Litsa Diamanti,"Litsa Diamanti (Greek: Λίτσα Διαμάντη, born Euaggelia (Evangelitsa-Litsa) Cosmidou; 1949 in Kolonos, Athens) is a Greek laïko singer who became famous in the 1960s and 1970s. She has been described as the ""child-wonder of the Sixties decade and the absolute diva of metapolitefsi"". Her hits have been described as ""all-time classics"".

Diamanti was born in 1949 in Kolonos, a suburb of Athens. She finished her schooling in Aegaleo. Her music career started early. <a href=""https://www.last.fm/music/Litsa+Diamanti"">Read more on Last.fm</a>",3860,22410,"('Rena Koumioti', 'Giota Lidia', 'Tzeni Vanou', 'Vicky Mosholiou', 'Mihalis Menidiatis')"
355,Bobby Charles,"Robert Charles Guidry (February 21, 1938 – January 14, 2010), known as Bobby Charles, was an American rhythm & blues singer and songwriter.

An ethnic Cajun, Charles was born in Abbeville, Louisiana, and grew up listening to Cajun music and the country and western music of Hank Williams. At the age of 15, he heard a performance by Fats Domino, an event that ""changed my life forever,"" he recalled.

Charles helped to pioneer the south Louisiana musical genre known as swamp pop. <a href=""https://www.last.fm/music/Bobby+Charles"">Read more on Last.fm</a>",89589,595932,"('Allen Toussaint', 'Dr. John', 'Professor Longhair', 'Fred Neil', 'Jesse Winchester')"
356,Wayang,"Members:
Yudhi - Vocal, Guitar
Adri - Keyboard
Gilang - Drum
Odji - Bass

http://www.myspace.com/wayangband <a href=""https://www.last.fm/music/Wayang"">Read more on Last.fm</a>",4233,26920,"('Base Jam', 'Rif', 'Bening', 'Bragi', 'TIC Band')"
357,Diana Pequeno," <a href=""https://www.last.fm/music/Diana+Pequeno"">Read more on Last.fm</a>",2969,30405,"('Teca Calazans', 'Xangai', 'Fátima Guedes', 'Dércio Marques', 'Vital Farias')"
358,Feroz Khan," <a href=""https://www.last.fm/music/Feroz+Khan"">Read more on Last.fm</a>",2985,12300,"('Mediterranean Spirit', 'Sardool Sikander', 'Surjit Singh', 'Kanth Kaler', 'Harbhajan Mann')"
