,Artist,Biography,Listeners,Playcount,Similar
14,THC,"There are (at least) five groups named THC.

1.THC a Serbian Hip-Hop band 










2. THC is a band from Monfalcone (Italy) formed in 1999. Almost all of their songs are parodies of known tracks, rewritten in the local dialect (""bisiac""). 

THC split in 2003 after their last concert in Aurisina.

3. T.H.C. (or Thrashing Hectic Circle) were a Crossover band from Livermore California. They recorded two demos, Killing For Peace and Christian Brainwash. <a href=""https://www.last.fm/music/THC"">Read more on Last.fm</a>",20734,254182,"('Beogradski Sindikat', 'Who See', 'V.I.P.', 'Furio Đunta', 'Ajs Nigrutin')"
15,Trurez Crew," <a href=""https://www.last.fm/music/Trurez+Crew"">Read more on Last.fm</a>",36,224,"('Cody Coyote', 'Drezus', 'Supaman', 'DJ Shub', 'Northern Cree')"
16,Miracle,"Multiple artists have released music as Miracle: 

1. Miracle is an electronic/synth-pop collaboration between American musician Steve Moore (Zombi, Lovelock) and prolific English multi-instrumentalist Daniel O'Sullivan (Ulver, Mothlite, Guapo)

2. Miracle is an Australian hip-hop artist

3. Miracle is a rapper from the southern United States

4. Miracle is a Canadian hip-hop artist

5. Miracle is a Dutch rock band known for their Queen covers

6. Miracle is a Polish death metal/thrash band. <a href=""https://www.last.fm/music/Miracle"">Read more on Last.fm</a>",22605,184694,"('Empire of the Sun', 'Tenek', 'Lizette Lizette', 'The Knife', 'The Black Queen')"
17,Alias,"There is more than one artist with this name:

1) Alias was an AOR/hard rock band, formed by vocalist Freddy Curci and Steve DeMarchi of the Canadian soft rock band Sheriff (""When I'm With You""), along with Heart founding members Roger Fisher, Steve Fossen and Mike DeRosier in 1988.

The band released its self-titled debut album that same year and went gold, scoring hits with ""Waiting For Love"" and the power ballad ""More Than Words Can Say"". They also recorded the Tonio K song ""Perfect World"" <a href=""https://www.last.fm/music/Alias"">Read more on Last.fm</a>",152277,1982866,"('Themselves', '13 & God', 'Odd Nosdam', 'Subtle', 'Jel')"
18,Shadow,"At least 7 different artists:

1.) Shadow is a melodic death metal band from Osaka, Japan, which was founded in 1993 by Yoshio ""Cain"" Kudo.
In 1997, Shadow recorded their first demos with the following members:- Yoshio Kudo (bass) - Yuichi Sumimoto (guitar) - Shinichiro Okada (guitar) - Mitsuhiro Emomoto (drums).
Without a vocalist of their own, Shadow hired a session singer to record their first demos. After distributing the demos worldwide, Shadow released their first album Shadow, under Spikefarm Records. <a href=""https://www.last.fm/music/Shadow"">Read more on Last.fm</a>",40980,366819,"('Blood Stain Child', 'Gates of Ishtar', 'Light This City', 'Intestine Baalism', 'Skyfire')"
19,Oomp Camp,"Oomp Camp is a little known rap group from Atlanta.

Their cds are near impossible to find anywhere. Despite this, all their releases exemplify lyrical finesse, ""bumpin"" beats, and a strong aura of ""I’m going to smoke a joint, fuck you up, and fuck a ho."" <a href=""https://www.last.fm/music/Oomp+Camp"">Read more on Last.fm</a>",1107,8086,"('Pastor Troy & Criminal Manne', 'Da Headbussaz', 'Camoflauge', 'Kilo Ali', 'The Last Mr. Bigg')"
20,Shane Capone," <a href=""https://www.last.fm/music/Shane+Capone"">Read more on Last.fm</a>",3353,11184,"('1st Dagree', 'Rico Fonzarelli', 'White Boy Ric', 'Scrill', 'C.Flame')"
21,Madhouse!,"MADHOUSE is Anthony Altino (guitar & lead vocals), Bobby Brennan (acoustic & electric bass and vocals), Jamie McKenna (percussion and vocals), Brian Petras (keyboards) and Mark Kiser (drums). Their music falls loosely under the heading of ""pop"" but is really a unique blend of many musical styles such as rock, folk, latin, country and swing. The music is very upbeat, saturated with extremely catchy hooks and lyrics that often tell stories with a decidedly ""tongue in cheek"" flare. <a href=""https://www.last.fm/music/Madhouse%21"">Read more on Last.fm</a>",334,6058,"('UG (Cella Dwellas)', 'Native Assassins', 'Shadowz In Da Dark', 'Ran Reed', 'Pudgee')"
22,DJ HAZIME," <a href=""https://www.last.fm/music/DJ+HAZIME"">Read more on Last.fm</a>",2096,15572,"('DJ TATSUTA Feat. RHYMESTER', 'Palm Drive feat. RHYMESTER and Tiger', 'SUPER 7 (RHYMESTER, キエるマキュウ, KOHEI JAPAN)', 'ラッパ我リヤ Feat. RHYMESTER', 'GM YOSHI feat. RHYMESTER')"
23,Salvador Sanchez," <a href=""https://www.last.fm/music/Salvador+Sanchez"">Read more on Last.fm</a>",1074,9444,"('Forza', 'Diaz', 'Don Martin', 'Warlocks', 'Dreamon')"
24,Jinx,"There are ten bands/artists with this name:

1) Jinx, a Croatian band
2) JiNX, a Belgian band
3) JINX, a British DJ duo
4) Jinx, a Swedish gabber-artist
5) Jinx, an Amsterdambased heavy metal band
6) Jinx, a Finnish rap artist
7) The Jinx, a Swedish streetpunk\oi band 
8) Jinx, an American indie rock artist
9) Jinx, a Finnish DJ duo
10) Jinx, a German skarock punk band
 11) Jinx, a Punjabi group with a fusion of urban and bhangra music
12) Jinx, a British pop duo (spin-off from the kid's TV show of the same name) <a href=""https://www.last.fm/music/Jinx"">Read more on Last.fm</a>",41149,700768,"('TBF', 'Dino Dvornik', 'Detour', 'Elemental', 'Pips, Chips & Videoclips')"
25,Kid Sensation,"A legend in the Northwest hip hop scene, Kid Sensation now known as Xola Malik has been making hits since he was a teenager. Xola emerged onto the hip hop music scene with Grammy Award winning artist, Sir Mix-a-Lot, then went on to release 4 solo CDs as Kid Sensation selling over 1,000,000 units. <a href=""https://www.last.fm/music/Kid+Sensation"">Read more on Last.fm</a>",2210,15710,"('grynch', 'Low Profile', 'D-Nice', 'Gabriel Teodros', 'Dyme Def')"
26,G&G Sindikatas,"G&G Sindikatas is a lithuanian hip hop crew that is active since 1996. The group has released 5 albums to date: Tavo Sielos Vagiz, Betono Sakmės, Gatves Lyga, Alchemija and  Išvien. G&G Sindikatas consists of 5 members - 3 MCs: Svaras, Kastetas, Pushaz, producer Donciavas and a DJ - DJ Mamania. 

G&G Sindikatas have been a part of the Lithuanian hip-hop scene for 11 years already. In the very beginning, the band consisted of 2 MC's (Svaras & Giga) laying rhymes down on the music produced by Exem <a href=""https://www.last.fm/music/G&G+Sindikatas"">Read more on Last.fm</a>",18461,801110,"('Pushaz', 'Andrius Mamontovas', 'Marijonas Mikutavičius', 'Lilas ir Innomine', 'SKAMP')"
27,Mr. Complex,"A prolific emcee from New York, Mr. Complex is part of the original class of mid-1990s New York City underground artists. He debuted in 1995 with ""Against The Grain,"" and kept his name in the game with a slew of stellar singles and compilation appearances. His friendly flow and advanced, conceptual lyrics have made him a favourite among hip-hop connoisseurs worldwide, who've gobbled up his many indie releases. Complex is also down with the Polyrhyrthm Addicts, rocking the mic alongside Apani B Fly Emcee, Shabaam Saadeeq, and DJ Spinna. <a href=""https://www.last.fm/music/Mr.+Complex"">Read more on Last.fm</a>",11176,57587,"('Anacron', 'L.A. Symphony', 'Polyrhythm Addicts', 'J-Zone', 'Akrobatik')"
28,Estilo bajo," <a href=""https://www.last.fm/music/Estilo+bajo"">Read more on Last.fm</a>",231,1827,"('Gotas de Rap', 'clan hueso duro', 'Asilo 38', 'Cescru Enlace', 'Fondo Blanco')"
29,La Fabrica," <a href=""https://www.last.fm/music/La+Fabrica"">Read more on Last.fm</a>",1616,6347,"('Lil Silvio & El Vega', 'Dj BryanFlOw', 'Mayra Goñi', 'DJ Warner', 'Malko Helper')"
30,Agent Sasco (Assassin)," <a href=""https://www.last.fm/music/Agent+Sasco+(Assassin)"">Read more on Last.fm</a>",8743,50030,"('Govana', 'Dre Island', 'Iba Mahr', 'Jahvillani', 'Jahmiel')"
31,DSGB,"The Down South Georgia Boyz (DSGB) Is A rap group from Atlanta, Georgia. The Group Was Starterd by Pastor Troy. They represent the tough, thuggish side of the Dirty South. Few rap groups can match these guys in terms of aggression and attitude. The group features Lil Pete, Pinhead, Blackoutt, and Klone. In addition, Pastor Troy plays a large role in the group, executive producing DSGB's debut album, producing several of the group's tracks, and joining the group on the mic for several songs.  <a href=""https://www.last.fm/music/DSGB"">Read more on Last.fm</a>",2620,14988,"('UTP', 'Lil Meta', 'BHI', 'Pastor Troy & Goodie Mob', 'Camoflauge')"
32,B.D. Foxmoor,"please B.D. Foxmoor and B.D.Foxmoor its the same artist (last fm and spotify what the fuck happens)...sorry
B.D. Foxmoor (born Michalis Mytakidis; Greek: Μιχάλης Μυτακίδης, on August 21, 1967) is a Greek rapper and hip hop producer. In 1992 he founded Active Member and released the first Greek hip hop album, Diamartyria (Protest), in 1993. In 1995 when Active Member signed to a major label, Warner, and released To megalo kolpo, B.D. <a href=""https://www.last.fm/music/B.D.+Foxmoor"">Read more on Last.fm</a>",1013,19281,"('Active Member', 'Sadahzinia', 'B.D.Foxmoor', 'La Bruja Muerta', 'Red Armada')"
33,Prodigy,"Prodigy is the name of more than one artist. For the electronic group, please correct your tags to The Prodigy.

1) rapper from Mobb Deep
2) group fronted by Todd Duane and Lale Larsen
3) 90s teenage rapper
4) 70s powerpop from Minnesota
5) US progressive/power metal
6) lounge jazz, alias of Miki Litvak
7) 90s US metal
8) US rapper in The Dominion

1) Albert Johnson (born November 2, 1974 in Bradford, Brooklyn, New York and died on June 20, 2017 in Las Vegas), better known by his stage name Prodigy, was a member of the hip hop duo Mobb Deep. <a href=""https://www.last.fm/music/+noredirect/Prodigy"">Read more on Last.fm</a>",620818,8286046,"('Cormega', 'Mobb Deep', 'Capone-N-Noreaga', 'Roc Marciano', 'AZ')"
34,Cas,"CAS or CaS can refer to two artists:

1. CAS is really dead.

Grime artist from Tottenham, North London.

The content of CAS' lyrics are mainly focused on narcotics but do contain some references to the supernatural. CAS is part of the North London based crew/label/company Proper P. Currently CAS is working on a mixtape titled Commercial which is supposedly coming out ""soon"".

2. CaS is a fictional band from the visual novel “Boku ga Tenshi ni Natta Wake” developed by Overdrive and first released on February 28, 2013. <a href=""https://www.last.fm/music/Cas"">Read more on Last.fm</a>",7195,96369,"('Footsie', 'Kozzie', 'Big H', 'Chronik', 'Big Narstie')"
35,Sens Unik,"Sens Unik is a hip hop group from Lausanne, Switzerland. They released their first Album Le VIème Sens in 1991. In 1992 they released Les Portes Du Temps which featured some of the first Swiss Rap hits, like ""Fiche"", ""Rira bien qui rira le dernier"" and ""A Gauche, A Droit"".

In 1994, they released Chromatic which gained them a gold record in Switzerland and Sweden. The album featured rappers like Strike, MC Solaar, Erik Truffaz and Fabe. They had two hits, ""Laisse Toi Aller"" and ""What I've Got"". <a href=""https://www.last.fm/music/Sens+Unik"">Read more on Last.fm</a>",12559,131249,"('Züri West', 'Subzonic', 'Wurzel 5', 'Chlyklass', 'Baze')"
36,Bz Jam," <a href=""https://www.last.fm/music/Bz+Jam"">Read more on Last.fm</a>",42,164,"(""Goin' Through"", 'Active Member', 'FF.C')"
37,Filosofia de Rua," <a href=""https://www.last.fm/music/Filosofia+de+Rua"">Read more on Last.fm</a>",1852,9038,"('Sistema Negro', 'Face Da Morte', 'Detentos do Rap', 'M.R.N', 'Thaíde & DJ Hum')"
38,Memphis Bleek,"Malik Thuston Cox (born on June 23, 1978) better known as Memphis Bleek, is a Brooklyn rapper who made his first appearance in Hip Hop on Jay-Z's debut album, Reasonable Doubt in 1996. Memphis Bleek regularly came in contact with rap legends such as The Notorious B.I.G. and Jay-Z during his childhood, and has collaborated with artists such as Beanie Sigel, Ja Rule and Missy Elliott, among others. ""Memphis"" is an acronym for Making Easy Money Pimping Hoes In Style. <a href=""https://www.last.fm/music/Memphis+Bleek"">Read more on Last.fm</a>",316591,1709503,"('Freeway', 'Beanie Sigel', 'Sheek Louch', ""Cam'ron"", 'Jadakiss')"
39,EDO. G,"Edward Anderson (born in 1970) is a hip-hop artist from Boston, Massachusetts, better known by his stage names Edo G and Ed O.G.. Although not widely known in the mainstream, Edo G has a cult following in Boston, and an international fanbase. <a href=""https://www.last.fm/music/+noredirect/EDO.+G"">Read more on Last.fm</a>",10293,65675,()
40,First Degree The D.E.,"First Degree The D.E. is a rap artist, music producer, and movie producer from Sacramento, California. He was born Michael Colen on October 4th, 1974. He owns independent record label, Fahrenheit Records and has released over 20 projects, including rap and jazz albums and full length movies. Known for his dark sound, deep voice, and creative lyrics, First Degree The D.E. has been a factor in the West Coast rap scene for over 15 years, working and touring with Brotha Lynch Hung, Andre Nickatina, and more. <a href=""https://www.last.fm/music/First+Degree+The+D.E."">Read more on Last.fm</a>",2544,27905,"('Triple Beam', 'P-Folks', 'Young Dre D', 'Young Droop', 'Fig Naytion')"
41,Doja Clik," Doja Clik is a legendary group out of Stockton California a.k.a. Mudville. Formed in 1993, members included Young Ren, LiL MaN G, and Wizard 1. The first album “Hard on da Grind”, with different spelling (Doesia Click), hit the streets and blew up with underground hits “Dungeon, Chronic Bionic, and Murder 1”. The album sold 20,000 units with no promotion. Till this day the “Hard on da Grind” release is a cult classic and classifies Doja Clik as Stockton’s most successful act. <a href=""https://www.last.fm/music/Doja+Clik"">Read more on Last.fm</a>",629,6632,"('Taydatay', 'Lil Ric', 'Two-Illeven', 'Black Nate', 'Suga Bear')"
42,8Ball,"
Alias Lasini, Ermadi & Gipado. These made up names are formed by the first letters of last names Lafleur, Siliakus and Nieuwenhuijzen, their first names Errol, Mark and Dimitrie and their middle names (Errol's is Donald).

*there is a hip-hop artist named 8ball (not with a capital b) that is redirected here



 <a href=""https://www.last.fm/music/8Ball"">Read more on Last.fm</a>",64343,410671,"('8Ball & MJG', 'Goodie Mob', 'Master P', 'Trick Daddy', 'David Banner')"
43,Breezy247," <a href=""https://www.last.fm/music/Breezy247"">Read more on Last.fm</a>",3722,10900,"('TwoThree', 'Young Zio', 'Trevor the Trash Man', 'FlexxBrothers', 'E.L.')"
44,Canibus,"Born Germaine Williams in 1974 in Jamaica, Canibus moved to the United States with his mother at a young age. Because his mother's career required constant relocation, the family moved frequently and the soon-to-be rapper found solace within himself. His rhetorical abilities blossomed later, once hip-hop became the guiding force in his life. He began rhyming and in the mid-'90s joined a group called T.H.E.M. (The Heralds of Extreme Metaphors.)

This group consisted also of his partner Webb. <a href=""https://www.last.fm/music/Canibus"">Read more on Last.fm</a>",163675,2175931,"('Big Noyd', 'Kool G Rap', 'AZ', 'Big Punisher', 'Jedi Mind Tricks')"
45,DJ Jazzy Jeff,"Jeffrey A. Townes (born January 22, 1965 in Philadelphia, Pennsylvania), also known as DJ Jazzy Jeff, is an American hip hop and R&B record producer and turntablist. He is best known for his early career with Will Smith as DJ Jazzy Jeff & The Fresh Prince. DJ Jazzy Jeff graduated from John Bartram High School in Philadelphia where he is enshrined in the school's ""Wall of Fame"".

History

When he was growing up, he found that listening to his parents was unbearable. <a href=""https://www.last.fm/music/DJ+Jazzy+Jeff"">Read more on Last.fm</a>",178502,1309377,"('J-Live', 'Pete Rock', 'Dilated Peoples', 'Keith Murray', 'Marley Marl')"
46,Rasheeda,"Rasheeda is a female rapper from Atlanta, Georgia, who started her career in the hip hop trio Da Kaperz in 1998. She has released 4 albums and has appeared on tracks with Petey Pablo, Nelly, Nivea, Cherish and in Ciara's ""Goodies"" video. Rasheeda has been dubbed several times as ""Queen of Crunk"" and the ""Georgia Peach"".  She is best known for her hit single  ""My Bubble Gum"". She's also a member of female duo Peach Candy with R&B singer-songwriter Kandi_Burruss. <a href=""https://www.last.fm/music/Rasheeda"">Read more on Last.fm</a>",198010,1001397,"('Demrick', 'Trina', 'Khia', 'Sir Mix-A-Lot', 'Petey Pablo')"
47,DJ Mahmut," <a href=""https://www.last.fm/music/DJ+Mahmut"">Read more on Last.fm</a>",379,2297,"('Barbar Konan', 'Tabanvay', 'Sine & Noise', 'Grup Ses Beats', 'Levni')"
48,MAGIERA," <a href=""https://www.last.fm/music/MAGIERA"">Read more on Last.fm</a>",34833,797230,"('Deemz', 'Fukaj', 'club2020', 'Trill Pem', 'Popkiller Młode Wilki')"
49,Lumino,"Lumino (Mongolian: Люмино) is a famous Hip-Hop band from Mongolia founded in 2000. Their music is dance-friendly and often melodic, with frequent contributions by external vocalists. Like most Mongolian bands, they like to include elements of traditional Mongolian music into their songs.
The creation of the band was inspired by a person named ""Jason"" who had worked as an English teacher in Mongolia in 1996 and 1997. Besides giving language lessons, he also introduced his students to Hip-Hop music. <a href=""https://www.last.fm/music/Lumino"">Read more on Last.fm</a>",1834,26465,"('Tatar', 'Ice Top', 'Rokit Bay', 'Ginjin', 'Tsetse')"
50,Tru-Paz,"With a MuchMusic Video Award nomination for the 2008 ""Best Rap Video"" of the year, five videos in rotation, four albums released on URBNET/Fontana, and concert bookings across the country, it is no wonder that Tru-Paz career is gaining recognition internationally.

The Tru-Paz collective consists of three members Boozie (Vocalist) Akim (Lyricist) and DJ Unknown  (Producer/DJ). Their sound is a distinct mixture of classic roots reggae,

RnB and hip-hop <a href=""https://www.last.fm/music/Tru-Paz"">Read more on Last.fm</a>",2513,16114,"('Zeph and Azeem', 'Theology 3', 'DL Incognito', 'Lateef & The Chief', 'Too Rude')"
51,Darkroom Familia Present OSO," <a href=""https://www.last.fm/music/Darkroom+Familia+Present+OSO"">Read more on Last.fm</a>",25,243,"('Darkroom Familia', 'Sir Dyno', 'Tokztero', 'Woodie', 'Cuete')"
52,C-Bo,"C-Bo, born Shawn “Cowboy” Thomas on 1971 in the Garden Block area of Sacramento, California. He has sold over 3.5 million albums independently since 1993. He is currently signed to West Coast Mafia Records. C-Bo, notoriously known for his relationship with law enforcement, was one of the first rappers to be jailed due to his lyrical content, a scathing critique of political officials and police on his track ""Deadly Game"", and unsuccessfully argued for appeal 3 times <a href=""https://www.last.fm/music/C-Bo"">Read more on Last.fm</a>",70756,487143,"('B-Legit', 'Celly Cel', 'The Click', 'Spice 1', 'RBL Posse')"
53,X-Raided,"X-Raided, real name Anarae Brown, was born in Sacramento and moved back and forth from Sac to his mothers homtown Waco.TX, and raised primarily in South Sacramento, CA in the Gardens community. He is a notorious gangster rapper who, shortly after releasing his 1992 debut LP Psycho Active, was convicted on murder charges. The album's violent lyrics were cited as evidence at his trial. While in prison, X-Raided recorded another album entirely over the telephone. <a href=""https://www.last.fm/music/X-Raided"">Read more on Last.fm</a>",61379,439463,"('Brotha Lynch Hung', 'C-Bo', 'Tech N9ne', 'Spice 1', 'First Degree The D.E.')"
54,2 Live Crew,"2 Live Crew was an American hip hop group from Miami, Florida, which had its greatest commercial success from the late 1980s to the early 1990s. The group's most well-known line up was composed of Luke Campbell, Fresh Kid Ice, Mr. Mixx, and Brother Marquis. They were considerably controversial in the U.S. due to the sexually explicit content in their songs, particularly on their 1989 album As Nasty as They Wanna Be. They were frequently challenged for their sexually explicit lyrics. <a href=""https://www.last.fm/music/2+Live+Crew"">Read more on Last.fm</a>",270905,1673929,"('69 Boyz', 'Whodini', 'Boogie Down Productions', 'DJ Jazzy Jeff & The Fresh Prince', 'The Sugarhill Gang')"
55,Rey Pirin," <a href=""https://www.last.fm/music/Rey+Pirin"">Read more on Last.fm</a>",7547,32437,"('Maicol & Manuel', 'DJ Blass', 'Ranking Stone', 'Karel y Voltio', 'Manny Montes')"
56,Zeebra,"Zeebra (ジブラ, Real Name, Hideyuki Sakakura 坂倉英之, born April 2, 1971 in Tokyo, Japan) is a famous Japanese hip hop artist, who made his first appearance in 1995. Known as the first rapper in Japan, Zeebra is a former member of the legendary hip-hop group キングギドラ, which also included DJ Oasis and K Dub Shine. He went on to pursue a solo career shortly after in 1997, and signed with the Future Shock record label. Having appeared in several TV commercials <a href=""https://www.last.fm/music/Zeebra"">Read more on Last.fm</a>",18174,348427,()
57,45 King,"Mark Howard James (October 16, 1961 – October 19, 2023), professionally known as The 45 King and also known as DJ Mark the 45 King,[2] was an American hip hop producer and DJ from The Bronx, New York. He began DJing in the mid-1980s. His pseudonym, the 45 King, came from his ability to make beats using obscure 45 RPM records. <a href=""https://www.last.fm/music/45+King"">Read more on Last.fm</a>",6084,31856,"('K-Def & 45 King', '14KT', 'Sweet Charles', 'Buyable', 'Freddie Cruger')"
58,War Party,"War Party is a Canadian Aboriginal Hip Hop group which formed in 1995.  Their lyrics focus on Native Rights and everyday life on the reservation. They received the Canadian Aboriginal Music Award for Best Rap or Hip-hop Album in 2001 for their album ""The Reign"" and again in 2002 for their EP ""Exclusive Rez Cuts"". They also received the 2002 Canadian Aboriginal Music Award for Best Music Video for ""Feeling Reserved"". <a href=""https://www.last.fm/music/War+Party"">Read more on Last.fm</a>",786,4093,"('La Sabrosura Dura', 'The Rite Flyers', 'Good Field', 'The Local Saints', 'Sam Doores + Riley Downing & the Tumbleweeds')"
59,Cool Nutz,"Who ever said it was gonna be easy? This is the slogan that Terrance Scott pka Cool Nutz has lived by.

After co-founding Jus Family Records in 1992 with longtime friend and business partner Bosco Kante, Cool Nutz embarked on the long and sometimes bumpy road of the hip-hop music business.

With 6 releases and over 70,000 units sold to date independently, Cool Nutz has been a testament of longevity in the ever changing independent music industry. <a href=""https://www.last.fm/music/Cool+Nutz"">Read more on Last.fm</a>",4101,21435,"('Mitchy Slick', 'Crooked I', 'Glasses Malone', 'Roscoe Umali', 'Yukmouth')"
